idsoil_data,probe,temperature,moisture,reading_time
1,1,71,44,"2014-01-01 07:21:07"
2,2,55,26,"2014-01-01 07:21:07"
3,3,72,25,"2014-01-01 07:21:07"
4,4,64,44,"2014-01-01 07:21:07"
5,1,37,42,"2014-01-01 10:01:01"
6,2,78,41,"2014-01-01 10:01:01"
7,3,66,30,"2014-01-01 10:01:01"
8,4,50,36,"2014-01-01 10:01:01"
9,1,32,32,"2014-01-01 16:38:51"
10,2,48,29,"2014-01-01 16:38:51"
11,3,31,29,"2014-01-01 16:38:51"
12,4,38,25,"2014-01-01 16:38:51"
13,1,66,26,"2014-01-02 02:36:19"
14,2,70,38,"2014-01-02 02:36:19"
15,3,40,42,"2014-01-02 02:36:19"
16,4,80,25,"2014-01-02 02:36:19"
17,1,76,32,"2014-01-02 11:11:54"
18,2,58,40,"2014-01-02 11:11:54"
19,3,72,43,"2014-01-02 11:11:54"
20,4,34,36,"2014-01-02 11:11:54"
21,1,86,43,"2014-01-02 13:01:24"
22,2,47,31,"2014-01-02 13:01:24"
23,3,32,42,"2014-01-02 13:01:24"
24,4,45,28,"2014-01-02 13:01:24"
25,1,69,42,"2014-01-02 23:40:59"
26,2,33,25,"2014-01-02 23:40:59"
27,3,37,41,"2014-01-02 23:40:59"
28,4,82,39,"2014-01-02 23:40:59"
29,1,53,34,"2014-01-03 03:29:59"
30,2,70,34,"2014-01-03 03:29:59"
31,3,39,37,"2014-01-03 03:29:59"
32,4,50,37,"2014-01-03 03:29:59"
33,1,62,27,"2014-01-03 07:51:31"
34,2,76,38,"2014-01-03 07:51:31"
35,3,68,44,"2014-01-03 07:51:31"
36,4,48,44,"2014-01-03 07:51:31"
37,1,69,42,"2014-01-03 14:28:13"
38,2,45,37,"2014-01-03 14:28:13"
39,3,81,36,"2014-01-03 14:28:13"
40,4,35,32,"2014-01-03 14:28:13"
41,1,46,25,"2014-01-03 21:15:58"
42,2,64,30,"2014-01-03 21:15:58"
43,3,89,39,"2014-01-03 21:15:58"
44,4,47,26,"2014-01-03 21:15:58"
45,1,47,25,"2014-01-03 23:51:39"
46,2,86,37,"2014-01-03 23:51:39"
47,3,67,26,"2014-01-03 23:51:39"
48,4,78,31,"2014-01-03 23:51:39"
49,1,41,31,"2014-01-04 05:14:09"
50,2,87,38,"2014-01-04 05:14:09"
51,3,38,30,"2014-01-04 05:14:09"
52,4,62,25,"2014-01-04 05:14:09"
53,1,57,25,"2014-01-04 06:15:56"
54,2,53,44,"2014-01-04 06:15:56"
55,3,44,27,"2014-01-04 06:15:56"
56,4,67,39,"2014-01-04 06:15:56"
57,1,85,39,"2014-01-04 07:07:06"
58,2,48,42,"2014-01-04 07:07:06"
59,3,40,35,"2014-01-04 07:07:06"
60,4,31,25,"2014-01-04 07:07:06"
61,1,34,33,"2014-01-04 15:07:11"
62,2,68,26,"2014-01-04 15:07:11"
63,3,53,44,"2014-01-04 15:07:11"
64,4,38,32,"2014-01-04 15:07:11"
65,1,80,43,"2014-01-05 00:22:57"
66,2,43,36,"2014-01-05 00:22:57"
67,3,56,33,"2014-01-05 00:22:57"
68,4,54,25,"2014-01-05 00:22:57"
69,1,68,37,"2014-01-05 07:26:11"
70,2,30,26,"2014-01-05 07:26:11"
71,3,57,37,"2014-01-05 07:26:11"
72,4,59,38,"2014-01-05 07:26:11"
73,1,46,30,"2014-01-05 18:07:02"
74,2,86,36,"2014-01-05 18:07:02"
75,3,75,28,"2014-01-05 18:07:02"
76,4,80,27,"2014-01-05 18:07:02"
77,1,36,38,"2014-01-05 22:19:42"
78,2,63,35,"2014-01-05 22:19:42"
79,3,89,32,"2014-01-05 22:19:42"
80,4,37,31,"2014-01-05 22:19:42"
81,1,88,39,"2014-01-06 03:12:06"
82,2,75,41,"2014-01-06 03:12:06"
83,3,62,28,"2014-01-06 03:12:06"
84,4,61,33,"2014-01-06 03:12:06"
85,1,48,26,"2014-01-06 10:16:07"
86,2,58,32,"2014-01-06 10:16:07"
87,3,62,29,"2014-01-06 10:16:07"
88,4,79,33,"2014-01-06 10:16:07"
89,1,70,28,"2014-01-06 14:00:45"
90,2,62,39,"2014-01-06 14:00:45"
91,3,53,39,"2014-01-06 14:00:45"
92,4,61,36,"2014-01-06 14:00:45"
93,1,66,42,"2014-01-06 18:09:06"
94,2,71,39,"2014-01-06 18:09:06"
95,3,44,26,"2014-01-06 18:09:06"
96,4,81,36,"2014-01-06 18:09:06"
97,1,51,40,"2014-01-07 04:41:54"
98,2,72,26,"2014-01-07 04:41:54"
99,3,87,29,"2014-01-07 04:41:54"
100,4,41,39,"2014-01-07 04:41:54"
101,1,39,30,"2014-01-07 14:41:27"
102,2,82,28,"2014-01-07 14:41:27"
103,3,47,34,"2014-01-07 14:41:27"
104,4,37,25,"2014-01-07 14:41:27"
105,1,79,44,"2014-01-08 00:49:33"
106,2,70,36,"2014-01-08 00:49:33"
107,3,44,35,"2014-01-08 00:49:33"
108,4,63,34,"2014-01-08 00:49:33"
109,1,84,41,"2014-01-08 07:28:22"
110,2,59,39,"2014-01-08 07:28:22"
111,3,55,31,"2014-01-08 07:28:22"
112,4,81,38,"2014-01-08 07:28:22"
113,1,74,39,"2014-01-08 08:31:12"
114,2,45,28,"2014-01-08 08:31:12"
115,3,52,33,"2014-01-08 08:31:12"
116,4,67,28,"2014-01-08 08:31:12"
117,1,83,40,"2014-01-08 12:16:46"
118,2,76,29,"2014-01-08 12:16:46"
119,3,63,28,"2014-01-08 12:16:46"
120,4,66,39,"2014-01-08 12:16:46"
121,1,31,39,"2014-01-08 23:12:40"
122,2,61,35,"2014-01-08 23:12:40"
123,3,40,29,"2014-01-08 23:12:40"
124,4,31,34,"2014-01-08 23:12:40"
125,1,62,30,"2014-01-09 03:59:48"
126,2,56,44,"2014-01-09 03:59:48"
127,3,32,39,"2014-01-09 03:59:48"
128,4,47,42,"2014-01-09 03:59:48"
129,1,47,44,"2014-01-09 14:07:31"
130,2,32,26,"2014-01-09 14:07:31"
131,3,61,32,"2014-01-09 14:07:31"
132,4,84,34,"2014-01-09 14:07:31"
133,1,77,44,"2014-01-09 20:20:51"
134,2,39,27,"2014-01-09 20:20:51"
135,3,64,28,"2014-01-09 20:20:51"
136,4,79,41,"2014-01-09 20:20:51"
137,1,46,25,"2014-01-10 02:04:22"
138,2,35,40,"2014-01-10 02:04:22"
139,3,72,27,"2014-01-10 02:04:22"
140,4,85,37,"2014-01-10 02:04:22"
141,1,44,28,"2014-01-10 07:44:12"
142,2,66,39,"2014-01-10 07:44:12"
143,3,49,31,"2014-01-10 07:44:12"
144,4,61,40,"2014-01-10 07:44:12"
145,1,67,37,"2014-01-10 12:30:35"
146,2,88,36,"2014-01-10 12:30:35"
147,3,60,39,"2014-01-10 12:30:35"
148,4,51,44,"2014-01-10 12:30:35"
149,1,52,41,"2014-01-10 18:00:49"
150,2,87,32,"2014-01-10 18:00:49"
151,3,82,29,"2014-01-10 18:00:49"
152,4,38,28,"2014-01-10 18:00:49"
153,1,80,40,"2014-01-11 02:45:26"
154,2,62,27,"2014-01-11 02:45:26"
155,3,68,37,"2014-01-11 02:45:26"
156,4,44,26,"2014-01-11 02:45:26"
157,1,60,31,"2014-01-11 04:12:09"
158,2,56,36,"2014-01-11 04:12:09"
159,3,82,30,"2014-01-11 04:12:09"
160,4,39,33,"2014-01-11 04:12:09"
161,1,39,29,"2014-01-11 04:29:25"
162,2,72,44,"2014-01-11 04:29:25"
163,3,57,27,"2014-01-11 04:29:25"
164,4,69,31,"2014-01-11 04:29:25"
165,1,74,25,"2014-01-11 06:24:17"
166,2,33,30,"2014-01-11 06:24:17"
167,3,56,38,"2014-01-11 06:24:17"
168,4,48,32,"2014-01-11 06:24:17"
169,1,62,44,"2014-01-11 06:36:25"
170,2,78,41,"2014-01-11 06:36:25"
171,3,64,35,"2014-01-11 06:36:25"
172,4,65,35,"2014-01-11 06:36:25"
173,1,46,38,"2014-01-11 12:14:08"
174,2,55,32,"2014-01-11 12:14:08"
175,3,76,33,"2014-01-11 12:14:08"
176,4,48,34,"2014-01-11 12:14:08"
177,1,45,33,"2014-01-11 16:45:42"
178,2,74,28,"2014-01-11 16:45:42"
179,3,77,25,"2014-01-11 16:45:42"
180,4,75,25,"2014-01-11 16:45:42"
181,1,68,34,"2014-01-11 18:31:03"
182,2,32,27,"2014-01-11 18:31:03"
183,3,31,29,"2014-01-11 18:31:03"
184,4,87,25,"2014-01-11 18:31:03"
185,1,39,33,"2014-01-11 19:59:00"
186,2,85,42,"2014-01-11 19:59:00"
187,3,55,35,"2014-01-11 19:59:00"
188,4,55,40,"2014-01-11 19:59:00"
189,1,55,37,"2014-01-12 00:24:33"
190,2,33,33,"2014-01-12 00:24:33"
191,3,59,42,"2014-01-12 00:24:33"
192,4,46,30,"2014-01-12 00:24:33"
193,1,80,34,"2014-01-12 03:53:38"
194,2,81,40,"2014-01-12 03:53:38"
195,3,82,26,"2014-01-12 03:53:38"
196,4,84,29,"2014-01-12 03:53:38"
197,1,81,43,"2014-01-12 08:42:09"
198,2,47,34,"2014-01-12 08:42:09"
199,3,57,35,"2014-01-12 08:42:09"
200,4,41,32,"2014-01-12 08:42:09"
201,1,67,31,"2014-01-12 09:55:02"
202,2,33,35,"2014-01-12 09:55:02"
203,3,50,26,"2014-01-12 09:55:02"
204,4,55,31,"2014-01-12 09:55:02"
205,1,79,37,"2014-01-12 10:32:49"
206,2,71,36,"2014-01-12 10:32:49"
207,3,30,34,"2014-01-12 10:32:49"
208,4,57,44,"2014-01-12 10:32:49"
209,1,66,40,"2014-01-12 17:06:28"
210,2,69,35,"2014-01-12 17:06:28"
211,3,68,30,"2014-01-12 17:06:28"
212,4,42,35,"2014-01-12 17:06:28"
213,1,40,35,"2014-01-13 02:12:52"
214,2,35,34,"2014-01-13 02:12:52"
215,3,64,34,"2014-01-13 02:12:52"
216,4,54,35,"2014-01-13 02:12:52"
217,1,56,37,"2014-01-13 11:35:02"
218,2,66,42,"2014-01-13 11:35:02"
219,3,41,36,"2014-01-13 11:35:02"
220,4,36,25,"2014-01-13 11:35:02"
221,1,87,31,"2014-01-13 18:29:21"
222,2,85,38,"2014-01-13 18:29:21"
223,3,36,40,"2014-01-13 18:29:21"
224,4,64,33,"2014-01-13 18:29:21"
